Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
09/13/2023,85.75,86.13,85.15,85.4,-0.23,-0.27%,25848,66603
09/12/2023,84.29,85.93,84.29,85.63,1.28,+1.52%,33495,65968
09/11/2023,83.98,85.04,83.81,84.35,0.04,+0.05%,24956,67224
09/08/2023,83.4,84.52,83.11,84.31,0.62,+0.74%,26282,67965
09/07/2023,84.31,84.34,83.32,83.69,-0.53,-0.63%,22070,65091
09/06/2023,83.72,84.63,83,84.22,0.63,+0.75%,27553,63056
09/05/2023,82.74,84.6,82.06,83.59,1.21,+1.47%,34585,57934
09/01/2023,80.8,82.72,80.8,82.38,1.45,+1.79%,31624,61556
08/31/2023,79.6,80.97,79.38,80.93,1.44,+1.81%,29431,63388
08/30/2023,79.4,79.95,78.99,79.49,0.3,+0.38%,14190,58051
08/29/2023,78.19,79.29,77.7,79.19,0.87,+1.11%,10621,58684
08/28/2023,78.43,79.09,78,78.32,0.03,+0.04%,7949,59570
08/25/2023,77.33,78.61,76.76,78.29,0.81,+1.05%,18721,58236
08/24/2023,77.4,77.9,76.45,77.48,-0.14,-0.18%,20439,57247
08/23/2023,78.56,78.56,76.43,77.62,-0.73,-0.93%,15578,53521
08/22/2023,78.63,79,78.17,78.35,-0.29,-0.37%,19352,51739
08/21/2023,78.8,79.86,78.55,78.64,-0.28,-0.35%,10307,50706
08/18/2023,78.2,79.08,77.47,78.92,0.6,+0.77%,14951,50791
08/17/2023,77.4,78.85,77.33,78.32,0.58,+0.75%,12346,51167
08/16/2023,78.4,79.31,77.4,77.74,-0.98,-1.24%,12964,50080
08/15/2023,79.76,80.23,78.22,78.72,-1.15,-1.44%,9223,49520
08/14/2023,80.16,80.31,79.28,79.87,-0.62,-0.77%,9583,50175
08/11/2023,80.44,81,79.99,80.49,0.12,+0.15%,10935,50001
08/10/2023,81.18,81.6,80.11,80.37,-0.99,-1.22%,12703,50224
08/09/2023,80.22,81.47,80.14,81.36,1.03,+1.28%,18069,49802
08/08/2023,80.05,80.47,77.9,80.33,0.75,+0.94%,11686,48261
08/07/2023,80.06,80.45,79.2,79.58,-0.57,-0.71%,10848,47781
08/04/2023,79.3,80.42,79.11,80.15,1,+1.26%,10768,48350
08/03/2023,77.52,79.44,76.8,79.15,1.69,+2.18%,11416,46798
08/02/2023,79.8,79.8,77,77.46,-1.53,-1.94%,12155,45598
08/01/2023,79.27,79.64,78.4,78.99,-0.36,-0.45%,12480,44399
07/31/2023,78.27,79.48,77.97,79.35,0.95,+1.21%,7260,44325
07/28/2023,77.38,78.48,77.09,78.4,0.63,+0.81%,11756,44048
07/27/2023,76.75,78.08,76.75,77.77,1.05,+1.37%,9733,43903
07/26/2023,76.95,77.31,76.43,76.72,-0.57,-0.74%,8891,44817
07/25/2023,76.77,77.48,76.26,77.29,0.6,+0.78%,8036,46894
07/24/2023,75.01,77.01,74.7,76.69,1.41,+1.87%,10721,46173
07/21/2023,74.31,75.44,74.3,75.28,1.1,+1.48%,10571,44126
07/20/2023,74.01,74.72,73.38,74.18,0.22,+0.30%,12803,42606
07/19/2023,73.84,75.04,73.69,73.96,-0.17,-0.23%,9859,41294
07/18/2023,72.8,74.25,72.61,74.13,1.34,+1.84%,7873,41027
07/17/2023,73.11,74.14,72.6,72.79,-0.89,-1.21%,8552,40360
07/14/2023,75.1,75.1,73.49,73.68,-1.25,-1.67%,9316,38491
07/13/2023,74.06,75.19,73.75,74.93,1.15,+1.56%,10080,37688
07/12/2023,73.13,73.95,72.89,73.78,0.73,+1.00%,8258,36434
07/11/2023,71.52,73.09,71.52,73.05,1.6,+2.24%,7800,33953
07/10/2023,71.7,72.22,71.18,71.45,-0.42,-0.58%,6437,32300
07/07/2023,70.34,71.9,70.12,71.87,1.49,+2.12%,10624,31779
07/06/2023,70.68,70.98,69.11,70.38,-0.32,-0.45%,11186,30898
07/05/2023,69.16,70.99,69.05,70.7,1.76,+2.55%,11762,30336
07/03/2023,69.72,70.91,68.86,68.94,-1.04,-1.49%,6019,31007
06/30/2023,69.5,70.27,69.12,69.98,0.49,+0.71%,10162,29682
06/29/2023,69.02,70.08,68.7,69.49,0.15,+0.22%,5325,29845
06/28/2023,67.86,69.45,67.38,69.34,1.56,+2.30%,8109,29077
06/27/2023,69.09,69.63,67.65,67.78,-1.2,-1.74%,9865,29167
06/26/2023,69.39,69.42,68.39,68.98,0.29,+0.42%,4528,29849
06/23/2023,68.57,68.98,67.07,68.69,-0.15,-0.22%,7541,29422
06/22/2023,71.05,71.15,68.52,68.84,-2.31,-3.25%,15796,29240
06/21/2023,69.74,71.19,69.58,71.15,1.26,+1.80%,4434,28346
06/20/2023,70.28,70.75,68.71,69.89,-0.73,-1.03%,4915,27645
06/16/2023,69.48,70.69,69.16,70.62,0.92,+1.32%,3454,27611
06/15/2023,67.88,69.81,67.2,69.7,2.25,+3.34%,5608,27959
06/14/2023,68.73,69.33,67.3,67.45,-0.97,-1.42%,5018,28438
